"Alert Email Sender","דואר אלקטרוני השולח של התרעה"
"Alert subscription was deleted successfully","הרשמה להתראה נמחקה בהצלחה"
"Alert subscription was saved successfully","נרשמך בהצלחה להתראה"
"Allow alert when product price changes","אפשר התראה כאשר מחיר המוצר משתנה"
"Allow alert when product comes back in stock","התרא כאשר מוצר חוזר למלאי"
"Click here not to receive alerts for this product","לחץ כאן כדי להפסיק לקבל התראות על מוצר זה"
"Error Email Recipient","הנמען לקבלת הודעת שגיאה"
"Error Email Sender","השולח הודעת שגיאה"
"Error Email Template","תבנית של הודעת השגיאה"
"Frequency","תדירות"
"Not enough parameters","לא מספיק פרמטרים"
"Please try again later","אנא נסה שוב מאוחר יותר"
"Price alert Email Template","תבנית דואר אלקטרוני להתראה על שינוי מחיר"
"Price:","מחיר:"
"Product Alerts","תזכורות מוצר"
"Product Alerts Run Settings","הגדרות הרצת התראות מוצרים"
"Product alerts Cron error","שגיאת תזמון של התראות מוצרים"
"Product not found","המוצר לא נמצא"
"Product price alert","התראה על מחיר מוצר"
"Product stock alert","התראה על מלאי למוצר"
"Sign up for price alert","הרשם להתראה על מחיר"
"Sign up to get notified when this product is back in stock","הרשם להתראה על חזרה למלאי"
"Special price:","מחיר מבצע:"
"Start Time","שעת התחלה"
"Stock alert Email Template","תזכורת מלאי - תבנית דואר אלקטרוני"
"Unsubscribe from all price alerts","בטל קבלת כל ההתראות על מחירים"
"Unsubscribe from all stock alerts","בטל קבלת כל ההתראות על המלאי"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","ביקשת לקבל התראה כאשר המוצרים הבאים חוזרים למלאי:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","ביקשת לקבל התראה כאשר מחירי המוצרים הבאים משתנים:"
"You will no longer receive price alerts for this product","לא תקבל יותר התראות על שינוי המחיר למוצר זה"
"You will no longer receive stock alerts","לא תקבל יותר התראות על מלאי המוצרים"
"You will no longer receive stock alerts for this product","לא תקבל יותר התראות על זמינות של מוצר זה במלאי"
