"Catalog Product View (Gift Card)","Catalog Product View (Gift Card)"
"Gift Card","כרטיס מתנה"
"Gift card","כרטיס מתנה"
"Add/Redeem a Gift Card","הוסף/השתמש בכרטיס מתנה"
"Enter Gift Card Code","הכנס קוד כרטיס מתנה"
"Redeem Gift Card","השתמש ב כרטיס מתנה"
"Add To Your List","הוסף לרשימה שלך"
"Required Fields","שדות חובה"
"Back","חזרה"
"Remove","הסר"
"Check Gift card information","בדוק את סטטוס הכרטיס"
"Enter your gift code","הכנס קוד כרטיס מתנה"
"Gift card code","קוד כרטיס מתנה"
"Check Gift Card","בדוק את סטטוס הכרטיס"
"Result","תוצאה"
"Balance","יתרה"
"Description","תיאור"
"Status","סטטוס"
"Expired at","פג תוקף בתאריך"
"Gift Card Code Information","מידע אודות הכרטיס"
"Gift Card Code","קוד הכרטיס"
"Added Date","תאריך הוספה"
"Expired Date","תאריך תפוגה"
"Permanent","Permanent"
"Comment","הערה"
"Check Shipping","בדוק שילוח"
"View Shipment","צפה בשילוח"
"Track the shipment","עקוב אחר השילוח"
"Gift Cards cannot be used to purchase Gift Card products","לא ניתן להשתמש בכרטיס מתנה כדי לקנות כרטיס מתנה"
"Enter Gift Card credit amount to pay for this order","הכנס את סכום השימוש בכרטיס המתנה להזמנה זו"
"Credit","יתרה"
"Use Gift Card to check out","השתמש בכרטיס מתנה לקנייה"
"Use Gift Card credit to check out (%s)","כרטיס מתנה שברשותך (%s)"
"Gift code ","קוד כרטיס "
"Edit","עריכה"
"Gift Card Amount","סכום כרטיס המתנה"
"The maximum number of times to enter gift codes is %d!","מס' הנסיונות המקסמיאלי להכנסת קוד %d!"
"Enter a Gift Card code","הכנס את קוד כרטיס המתנה"
"Existed Gift Card Code","קוד כרטיס המתנה קיים"
"-- Please Select --","-- אנא בחר --"
"Apply Gift Card","הוסף את הכרטיס"
"Loading...","טוען..."
"Refreshing cart, please wait","טוען נתונים, אנא המתן"
"Please change amount","שנה את הסכום בבקשה"
"Please enter your code","הכנס את הקוד שלך בבקשה"
"Please enter or chose your code","Please enter or chose your code"
"Email Gift Card to Friend","שלח את כרטיס המתנה לחבר"
"Email to a Friend","שלח לחבר"
"Name:","שם:"
"Email Address:","כתובת אימייל:"
"Message:","הודעה:"
"Send to Friend","שלח לחבר"
"Gift Card Code Details","פרטי כרטיס המתנה"
"History","היסטוריה"
"Action","פעולה"
"Date","תאריך"
"Balance Change","יתרה נוכחית"
"Order","הזמנה"
"Comments","הערות"
"N/A","N/A"
"View Order","צפייה בהזמנה"
"Email to Friend","שלח לחבר"
"Redeem","השתמש"
"Are you sure?","האם אתה בטוח?"
"My credit balance: ","היתרה שלי: "
"Add / Redeem a Gift Card","הוסף / השתמש בכרטיס מתנה"
"Add a Gift Card","הוסף כרטיס מתנה"
"View detail","צפה בפרטים"
"Reset Filter","נקה תוצאות"
"Search","חיפוש"
"From","מ"
"dateinput","dateinput"
"To","עבור"
"There are no items matching this selection.","לא נמצאו פריטים העונים על החיפוש"
"My Gift Card Credit","יתרת הכרטיס שלי"
"Your current balance is: ","היתרה שלך: "
"Redeem a Gift Card","השתמש בכרטיס המתנה"
"Have a Gift Card? %s to redeem it","יש לך כרטיס %s כדי לממש אותו"
"Click here","הקלק כאן"
"Balance History","היסטוריית הכרטיס"
"Items %s to %s of %s total","Items %s to %s of %s total"
"You are using","אתה משתמש"
"Apply","הפעל"
"Apply...","הפעל..."
"Removing Gift Card ","הסר "
"Enter your gift code","הקלד את קוד הכרטיס"
"or select an existing Gift Card code","או בחר בכרטיס מתנה קיים"
"Add Gift Card","הוסף כרטיס מתנה"
"Adding Gift Card...","הוספת כרטיס מתנה..."
"View usage conditions of this Gift Card","View usage conditions of this Gift Card"
"Double click on above image to view full picture","לחץ על התמונה מעלה לצפייה בתמונה המלאה"
"Zoom Out","הקטן את התצוגה"
"Zoom In","הגדל את התצוגה"
"More Views","תמונות נוספות"
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
"Regular Price:","Regular Price:"
"Special Price:","Special Price:"
"Incl. Tax","Incl. Tax"
"Giftcard Title","כותרת כרטיס המתנה"
"Value","סכום"
