"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s נוסף בהצלחה לרשימת הקבועים. לחץ <a href=""%2$s"">כאן</a> להמשך הקנייה"
"%1$s has been updated in your wishlist.","%1$s עודכן ברשימת הקבועים שלך."
"%d product(s) have been added to shopping cart: %s.","%d מוצר(ים) נוספו לסל הקניות: %s."
"%s for ""%s"".","%s עבור ""%s""."
"%s's Wishlist","רשימת הקבועים של %s"
"* Required Fields","* שדות חובה"
"Add All to Cart","הוסף הכל לסל"
"Add to Cart","הוסף לסל"
"Add to Wishlist","הוסף לרשימת הקבועים"
"Added On","התווסף ב"
"Are you sure you want to remove this product from your wishlist?","האם הנך בטוח שברצונך להסיר את המוצר מרשימת הקבועים שלך?"
"Are you sure you would like to remove this item from the wishlist?","האם הנך בטוח שברצונך להסיר פריט זה מרשימת הקבועים?"
"Are You sure?","אתה בטוח?"
"Back","חזור"
"Can\'t save description %s","לא ניתן לשמור תיאור %s"
"Cannot create wishlist","לא ניתן ליצור רשימת משאלות"
"Cannot specify product","לא יכול לזהות מוצר"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","סמן אם ברצונך להוסיף קישור ל- RSS של רשימת הקבועים"
"Comment","הערה"
"Email address can't be empty.","כתובת דואר אלקטרוני לא יכולה להיות ריקה."
"Email addresses, separated by commas","כתובות דואר אלקטרוני, מופרדות בפסיק"
"Email Sender","דואר אלקטרוני השולח"
"Email Template","תבנית דואר אלקטרוני"
"Enabled","פעיל"
"General Options","אפשרויות כלליות"
"Go to Wishlist","לרשימת ה - WishList"
"Last Added Items","פריטים שנוספו לאחרונה"
"Message","הודעה"
"My Wishlist","רשימת הקבועים שלי"
"My Wishlist (%d item)","WishList (%d פריט)"
"My Wishlist (%d items)","WishList (%d פריטים)"
"My Wishlist <small>(%d)</small>","הקבועים שלי <small>(%d)</small>"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","הכנס כתובות דואר אלקטרוני תקינות, מופרדות בפסיק, לדוגמא johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","הכנס הערה בבקשה..."
"Product","מוצר"
"Remove Item","הסר פריט"
"RSS Feed","הזנת RSS"
"RSS link to %s's wishlist","קישור RSS לרשימת הקבועים של %s"
"Share options","אפשרויות שיתוף"
"Share Wishlist","שתף רשימת הקבועים"
"Share Your Wishlist","שתף רשימת הקבועים שלך"
"Sharing Information","פרטי השיתוף"
"There was an error while adding item to wishlist.","ארעה שגיאה בזמן הוספת פריט לרשימת הקבועים."
"There was an error while adding item to wishlist: %s","ארעה שגיאה בזמן הוספת פריט לרשימת הקבועים: %s"
"There was an error while deleting item from wishlist.","ארעה שגיאה בזמן מחיקת פריט מרשימת הקבועים"
"There was an error while deleting item from wishlist: %s","ארעה שגיאה בזמן מחיקת פריט מרשימת הקבועים: %s"
"This product(s) is currently out of stock:","מוצר(ים) זה חסר במלאי כרגע:"
"Update Wishlist","עדכון הרשימה"
"View Product","צפה במוצר"
"Wishlist","רשימת הקבועים"
"Wishlist Section","מדור רשימות הקבועים"
"Wishlist Sharing","שיתוף רשימת הקבועים"
"Wishlist is empty now.","רשימת הקבועים ריקה כעת."
"You have no items in your wishlist.","אין פריטים ברשימת הקבועים שלך."
"You input not valid email address.","יש להזין כתובת דואר אלקטרוני חוקית."
"Your Wishlist was successfully shared","רשימת הקבועים שלך שותפה בהצלחה"
"Item was successfully added to your Wishlist","הפריט התווסף בהצלחה"
"Product Details and Comment","פריט"
