"-- Please select --","-- בחר מהרשימה --"
"Allowed currencies","אפשר שימוש במטבעות נוספים"
"Base currency (Currency will be used for all online payment transactions)","מטבע בסיסי (ישמש לכל התשלומים באתר)"
"Cannot retrieve rate from %s","לא ניתן לקבל שער מ- %s"
"Connection timeout in seconds","הפסקת התקשרות בשניות"
"Continue &raquo;","המשך &laquo;"
"Country","ארץ"
"Country Api","ארץ Api"
"Country and Format Type combination should be unique","שילוב של ארץ וסוג פורמט צריך להיות ייחודי"
"Currency","מטבע"
"Currency Options","מטבעות - אפשרויות"
"Currency Setup","מטבעות - הגדרות"
"Currency Update Warnings","אזהרות עדכון מטבע"
"Currency will be used for all online payment transactions","מטבע ישמש לכל התשלומים באתר"
"Default display currency","מטבע מוצג ברירת מחדל"
"Directory","Directory"
"Enabled","פעיל"
"Error Email Recipient","הנמען לקבלת הודעת שגיאה"
"Error Email Sender","השולח הודעת שגיאה"
"Error Email Template","תבנית של הודעת השגיאה"
"FATAL ERROR:","שגיאה חמורה:"
"Frequency","תדירות"
"Installed Currencies","מטבעות מותקנים"
"Invalid Import Service Specified","Invalid Import Service Specified"
"Invalid country code: %s","קוד מדינה שגוי: %s"
"Invalid rates received","התקבלו שערים לא תקינים"
"Invalid target currency","מטבע היעד לא תקני"
"List of countries","רשימת ארצות"
"List of regions in specified country","רשימת אזורים בארצות בנבחרו"
"Postal Code is Optional for the following countries","המיקוד הינו אופציונאלי עבור מדינות הבאות"
"Region","אזור"
"Region Api","API של אזור"
"Scheduled Import Settings","הגדרות ייבוא מתוזמנות"
"Select Your Currency","בחר מטבע שלך"
"Service","שירות"
"Start Time","שעת התחלה"
"State/Province","אזור/מחוז"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","לא יכול להתחיל את מודול הייבוא"
"Undefined rate from ""%s-%s""","השער לא מוגדר מ-""%s-%s"""
"WARNING:","אזהרה:"
"Webservicex","Webservicex"
"Your current currency is: %s","המטבע הנוכחי שלך: %s"
