"Add","הוסף"
"Allow Gift Messages for Order Items","אפשר צירוף ברכה לפריט מוזמן"
"Allow Gift Messages on Order Level","אפשר צירוף ברכה כללית להזמנה"
"Are you sure?","האם אתה בטוח?"
"Check this checkbox if you want to add gift messages to your items.","סמן אם ברצונך להוסיף הודעת ברכה לפריטים"
"Check this checkbox if you want to add gift messages.","סמן אם ברצונך להוסיף ברכות."
"Do you have any gift items in your order?","האם יש פרטי מתנה בהזמנה?"
"Edit","ערוך"
"Enter a gift message for each item in your order.","כתוב הודעת ברכה לכל פריט בהזמנה"
"Enter a gift message for entire order.","כתוב הודעת ברכה לכל ההזמנה."
"Enter a gift message for this address.","כתוב הודעת ברכה לכתובת זו."
"Error while saving gift message","שגיאה בעת שמירת הודעת ברכה."
"From","מאת"
"Gift Messages","הודעות ברכה"
"Gift message has been successfully saved","הודעת ברכה נשמרה בהצלחה"
"Item %d of %d","פריט %d מתוך %d"
"Message","הודעה"
"No","לא"
"Save Gift Message","שמור הודעת ברכה"
"To","אל"
"Unknown entity type","Unknown entity type"
"Use config","Use config"
"Yes","כן"
"You can leave a box blank if you don\'t wish to add a gift message for the item.","באפשרותך להשאר תיבה ריקה אם אין צורך בהוספת הודעת ברכה לפריט זה."
"You can leave a box blank if you don\'t wish to add a gift message for this address.","באפשרותך להשאר תיבה ריקה אם אין צורך בהוספת הודעת ברכה כתובת זו."
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","באפשרותך להשאר תיבה ריקה אם אין צורך בהוספת הודעת ברכה להזמנה זו."
"Your gift message successfully removed","הודעת ברכה שלך הוסרה בהצלחה"
"Your gift message successfully saved","הודעת ברכה שלך נשמרה בהצלחה"
