"Action","פעולה"
"Add New Block","בלוק חדש"
"Add New Page","הוסף דף חדש"
"All countries","כל הארצות"
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to delete current folder?","האם אתה בטוח שברצונך למחוק את התיקיה הנוכחית?"
"Are you sure you want to delete the selected file?","האם אתה בטוח שברצונך למחוק את הקובץ הנבחר?"
"Block","בלוק"
"Block Information","בלוק - מידע"
"Block Title","בלוק - כותרת"
"Block was successfully deleted","הבלוק נמחק בהצלחה"
"Block was successfully saved","הבלוק נשמר בהצלחה"
"CMS","CMS"
"CMS Home Page","מע' ניהול תוכן - עמוד הבית"
"CMS No Route Page","דף שגיאה CMS"
"CMS No-Route Page","דף שגיאה 404"
"CMS Page","דף תוכן"
"CMS Page Link","קישור לדף תוכן"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Pages (All)","דפי תוכן (הכל)"
"CMS Static Block","בלוק תוכן סטטי"
"CMS Static Block Default Template","CMS Static Block Default Template"
"Cannot create new directory","לא ניתן ליצור תיקיה חדשה"
"Cannot delete directory %s","לא ניתן למחוק תיקיה %s"
"Cannot delete root directory %s","לא ניתן למחוק תיקיית השורש %s"
"Cannot upload file","לא ניתן להעלות קובץ"
"Collapse All","סוגר הכל"
"Content","תוכן"
"Content Heading","כותרת התוכן"
"Content Management","ניהול התוכן"
"Contents of a Static Block","תוכן של בלוק סטטי"
"Create Folder...","צור תיקיה..."
"Custom Design","עיצוב בהתאמה אישית"
+"Custom Design From","החל עיצוב מותאם אישית מתאריך"
+"Custom Design To","החל עיצוב מותאם אישית עד תאריך"
+"Custom Layout","תצורה מותאמת אישית"
+"Custom Layout Update XML","Custom Layout Update XML"
"Custom Theme","תבנית עיצוב מותאמת אישית"
"Customer Tax Class Information","לקוח - מידע מדרגת מס"
"Date Created","תאריך יצירה"
"Delete Block","מחק בלוק"
"Delete File","מחק קובץ"
"Delete Folder","מחק תיקיה"
"Delete Page","מחק עמוד"
"Description","תיאור"
"Design","עיצוב"
"Directory %s is not writable by server","תיקיה %s אינה כתיבה"
"Disabled","לא פעיל"
"Disabled Completely","כבוי לגמרי"
"Disabled by Default","כבוי כברירת מחדל"
"Edit Block '%s'","ערוך בלוק '%s'"
"Edit Block","ערוך בלוק"
"Edit Page","ערוך דף"
"Edit Page '%s'","ערוך דף '%s'"
"Enable WYSIWYG editor","הפעל עורך תוכן ויזואלי"
"Enabled","פעיל"
"Enabled by Default","מופעל כברירת מחדל"
"Error while saving Page. Please try again later.","התרחשה שגיאה בשמירת הדף. אנא נסה שנית מאוחר יותר."
"Expand All","פתח הכל"
"General Information","מידע כללי"
"Go to Home Page","חזור לדף ראשי"
"Home","ראשי"
"ID","ID"
"Identifier","מזהה"
"If empty, the Page Title will be used","אם ריק, כותרת הדף תוצג"
"Images (%s)","תמונות (%s)"
"Insert File","טען קובץ"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","שם התיקיה לא תקני. בבקשה, השתמש באותיות באנגלית, מספרים, מקפים ומקפים תחתוניים בלבד."
"Keywords","מילות מפתח"
"Last Modified","עודכן לאחרונה"
"Layout","תצורה"
"Layout Update XML","Layout Update XML"
"Link to a CMS Page","קישור לדף תוכן"
"Manage Pages","ניהול דפים"
"Media Storage","אחסון קבצי מדיה"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","מילות מפתח (Meta Keywords)"
"New Block","בלוק חדש"
"New Folder Name:","שם לתיקיה חדשה:"
"New Page","עמוד חדש"
"No files found","לא נמצאו קבצים"
"Page Information","מידע על דף"
"Page Layout","תצורת דף"
"Page Status","סטטוס הדף"
"Page Title","כותרת הדף"
"Page URL Key cannot consist only of numbers.","כתובת URL של הדף לא יכולה להיות מורכבת ממספרים בלבד."
"Page URL Key for specified store already exist.","כתובת URL של הדף לחנות שצוינה כבר קיימת."
"Page was successfully deleted","הדף נמחק בהצלחה"
"Page was successfully saved","הדף נשמר בהצלחה"
"Pages","דפים"
"Product Tax Class Information","מוצר - מידע על מדרגת/מחלקת המס"
"Relative to Website Base URL","יחסי לכתובת URL הבסיסית של האתר URL"
"Save Block","שמור בלוק"
"Save Page","שמור דף"
"Select Block...","בחר בלוק..."
"Select Page...","בחר דף..."
"Show breadcrumbs for CMS pages","הצג נתיב עבור דפי תוכן"
"Show notice if JavaScript is disabled","הצג הודעה אם JavaScript מכובה"
"Static Blocks","בלוקים סטטיים"
"Status","סטאטוס"
"Storage Root","שורש האחסון"
"Store View","תצוגת חנות"
"Such a block identifier in selected store already exist.","מזהה בלוק בשם זה קיים כבר בחנות שבחרת."
"Such directory already exists. Try another folder name","תיקיה כזאת כבר קיימת. נסה שם אחר"
"Template","תבנית"
"The page you are trying to save no longer exists","הדף שאתה מנסה לשמור לא קיים יותר"
"This Block no longer exists","בלוק זה כבר לא קיים"
"This block no longer exists","בלוק מידע זה לא קיים יותר"
"This page no longer exists","דף זה לא קיים יותר."
"Title","כותרת"
"URL Key","כתובת URL"
"Unable to find a block to delete","לא נמצא בלוק למחיקה"
"Unable to find a page to delete","לא נמצא דף למחיקה"
"WYSIWYG Options","אפשרויות עורך ויזואלי"
"px.","px."
